Stations, Start, End 
"nesham street, wapping",291,263
"storey's gate, westminster",306,394
"old ford road, bethnal green",79,67
"crawford street, marylebone",207,201
"gower place , euston",200,195
"little argyll street, west end",466,465
"warwick road, olympia",192,178
"seville street, knightsbridge",223,191
"abbey orchard street, westminster",205,267
"howland street, fitzrovia",310,317
"waterloo place, st. james's",183,167
"west cromwell road, earl's court",145,156
"bbc white city, white city",227,257
"selby street, whitechapel",145,146
"charlbert street, st. john's wood",103,97
"north wharf road, paddington",144,136
"south lambeth road, vauxhall",261,242
"london zoo car park, the regent's park",79,78
"erin close, walham green",167,170
"leonard circus , shoreditch",251,265
"aberdeen place, st. john's wood",97,108
"smugglers way, wandsworth",171,169
"great tower street, monument",349,415
"st. katharine's way, tower",131,145
"ampton street , clerkenwell",147,144
"lambeth road, vauxhall",125,134
"spindrift avenue, millwall",82,85
"neville gill close, wandsworth",102,108
"freston road, avondale",64,59
"borough high street, the borough",155,155
"cleaver street, kennington",73,76
"prince albert road, the regent's park",138,132
"holborn circus, holborn",328,546
"vauxhall street, vauxhall",152,157
"newton street, covent garden",142,137
"new fetter lane, holborn",238,187
"webber street , southwark",158,130
"lsbu (borough road), elephant & castle",90,111
"michael road, walham green",143,129
"knightsbridge, hyde park",98,50
"irene road, parsons green",75,80
"hammersmith road, hammersmith",270,283
"howick place, westminster",200,235
"sloane avenue, knightsbridge",167,182
"ossulston street, somers town",240,208
"tavistock street, covent garden",243,276
"lincoln's inn fields, holborn",25,52
"park street, bankside",103,132
"eaton square (south), belgravia",85,81
"st. john street, finsbury",127,117
"fawcett close, battersea",56,55
"houndsditch, aldgate",170,284
"osiers road, wandsworth",109,102
"usk road, clapham junction",132,121
"great russell street, bloomsbury",178,178
"harrington square 1, camden town",155,155
"bishop's bridge road west, bayswater",255,258
"south park, sands end",137,143
"the blue, bermondsey",133,138
"albany street, the regent's park",180,145
"bunhill row, moorgate",263,289
"ingrave street, clapham junction",42,58
"farm street, mayfair",115,101
"kennington station, kennington",127,125
"paddington street, marylebone",192,192
"westbourne grove, bayswater",154,124
"garnet street, shadwell",129,127
"tyers gate, bermondsey",143,150
"royal avenue 1, chelsea",97,94
"warwick avenue station, maida vale",166,157
"belgrave square, belgravia",108,91
"newgate street , st. paul's",367,412
"hawley crescent, camden town",76,89
"queen's gate (north), kensington",218,444
"grant road east, clapham junction",232,205
"soho square , soho",539,699
"east ferry road, cubitt town",37,37
"museum of london, barbican",224,237
"barbican centre, barbican",166,168
"harris academy, bermondsey",144,147
"southampton street, strand",220,224
"east india dlr, blackwall",64,89
"panton street, west end",329,287
"ackroyd drive, bow",183,189
"lollard street, vauxhall",168,159
"upper grosvenor street, mayfair",17,19
"courland grove, wandsworth road",164,167
"eel brook common, walham green",103,93
"walworth square, walworth",284,305
"cadogan place, knightsbridge",152,143
"caldwell street, stockwell",174,144
"bankside mix, bankside",184,213
"queensdale road, shepherd's bush",48,54
"westminster bridge road, elephant & castle",55,38
"lee valley velopark, queen elizabeth olympic park",107,119
"westbridge road, battersea",290,285
"portugal street, holborn",110,127
"northfields, wandsworth",28,34
"godliman street, st. paul's",230,206
"east road, hoxton",148,115
"canada water station, rotherhithe",256,246
"pindar street, liverpool street",121,117
"ilchester gardens, bayswater",217,183
"lancaster drive, blackwall",72,77
"princes square, bayswater",93,97
"warwick row, westminster",317,372
"curzon street, mayfair",84,86
"alma road, wandsworth",46,42
"jubilee crescent, cubitt town",80,84
"paddington green, paddington",64,46
"high holborn , covent garden",208,206
"theobald's road , holborn",136,143
"falkirk street, hoxton",168,156
"bury place, holborn",122,123
"st. james's square, st. james's",501,803
"cromer street, bloomsbury",131,122
"binfield road, stockwell",219,195
"st. john's wood church, the regent's park",115,72
"merchant street, bow",99,105
"ilchester place, kensington",68,49
"bricklayers arms, borough",249,256
"sirdar road, avondale",19,18
"albert gate, hyde park",401,437
"shoreditch park, hoxton",205,194
"sun street, liverpool street",173,196
"great percy street, clerkenwell",147,137
"bevington road west, north kensington",174,182
"broadcasting house, marylebone",220,216
"grosvenor crescent, belgravia",80,73
"harrowby street, marylebone",162,157
"grafton street, mayfair",103,146
"ebury bridge, pimlico",152,163
"hollybush gardens, bethnal green",78,82
"albert bridge road, battersea park",163,162
"monier road, hackney wick",232,216
"st john's crescent, brixton",63,65
"hyde park corner, hyde park",442,388
"orsett terrace, bayswater",38,33
"millharbour, millwall",54,59
"abingdon villas, kensington",111,108
"malmesbury road, bow",39,33
"twig folly bridge, mile end",157,162
"westfield southern terrace ,shepherd's bush",58,47
"clarence walk, stockwell",115,98
"worship street, shoreditch",237,224
"richmond way, shepherd's bush",136,135
"bedford way, bloomsbury",180,183
"napier avenue, millwall",49,46
"limburg road, clapham junction",94,85
"shoreditch high street, shoreditch",285,304
"thurtle road, haggerston",103,70
"fore street avenue, guildhall",103,151
"sidney road, stockwell",114,127
"hansard mews, holland park",83,94
"the metropolitan, portobello",72,80
"crimscott street, bermondsey",198,177
"queen's gate (central), south kensington",226,233
"elgin avenue, maida hill",170,160
"stewart's road, wandsworth road",72,69
"charlotte street, fitzrovia",178,175
"exhibition road, knightsbridge",642,793
